model,feature,importance,business_interpretation
random_forest_light,numeric__DisbursementYear,0.0,Requires manual business review
random_forest_light,numeric__CurrentBalancePositiveAmount,0.0,Outstanding balance / leverage signal
gradient_boosting_light,numeric__Legit FICO Scores,0.6612789449786988,Credit bureau quality / creditworthiness signal
gradient_boosting_light,numeric__OverdueAccountRatio,0.10398292261745497,Historical repayment stress / delinquency signal
gradient_boosting_light,numeric__Current Balance Amount,0.037233190542825735,Outstanding balance / leverage signal
gradient_boosting_light,numeric__AccountsPerCreditHistoryMonth,0.03140777695586079,Requires manual business review
gradient_boosting_light,numeric__Disbursed Amount,0.031101833069023806,Exposure size signal
gradient_boosting_light,numeric__FICO Score,0.028945418423367616,Credit bureau quality / creditworthiness signal
gradient_boosting_light,numeric__Number of Active Accounts,0.018341848352900068,Requires manual business review
gradient_boosting_light,numeric__Instalment Amount,0.016183156044920002,Repayment burden signal
gradient_boosting_light,numeric__ActiveAccountRatio,0.013687978213851202,Requires manual business review
gradient_boosting_light,numeric__Number of Overdue Accounts,0.010054535186183183,Historical repayment stress / delinquency signal
gradient_boosting_light,numeric__RecentlyOpenedAccountRatio,0.0090932059119592,Requires manual business review
gradient_boosting_light,numeric__Average Account Age,0.007605231152227268,Customer maturity / lifecycle signal
gradient_boosting_light,numeric__HasZeroCurrentBalance,0.004112062175507566,Outstanding balance / leverage signal
gradient_boosting_light,numeric__BalanceToDisbursedRatio,0.004070541105346086,Outstanding balance / leverage signal
gradient_boosting_light,numeric__RecentlyOpenedAccountsPerCreditHistoryMonth,0.003963822724659119,Requires manual business review
gradient_boosting_light,State,0.0026945581285910715,Geographic / portfolio mix signal
gradient_boosting_light,numeric__InstalmentToDisbursedAmount,0.002454685687116755,Exposure size signal
gradient_boosting_light,numeric__Age,0.002354987309409111,Customer maturity / lifecycle signal
gradient_boosting_light,numeric__InstalmentToDisbursedRatio,0.00232645631868248,Exposure size signal
gradient_boosting_light,numeric__Number of Accounts,0.002227742670899796,Requires manual business review
gradient_boosting_light,low_cardinality_categorical__CreditHistoryAgeBand_Young,0.0013713251568325778,Customer maturity / lifecycle signal
gradient_boosting_light,low_cardinality_categorical__CreditHistoryAgeBand_Established,0.0007202559214016778,Customer maturity / lifecycle signal
gradient_boosting_light,numeric__FICO Rating Ordinal,0.0007029925582354607,Credit bureau quality / creditworthiness signal
gradient_boosting_light,numeric__Legit LTV,0.0005357814449002378,Requires manual business review
gradient_boosting_light,numeric__DaysSinceDisbursement,0.0005287653264619066,Requires manual business review
gradient_boosting_light,low_cardinality_categorical__FICO Rating_Very Good,0.00048477177957396267,Credit bureau quality / creditworthiness signal
gradient_boosting_light,numeric__InquiryToAccountRatio,0.00047701860696196756,Requires manual business review
gradient_boosting_light,numeric__Number of Accounts Opened Last 6 Months,0.0004397114332136143,Requires manual business review
gradient_boosting_light,numeric__InquiryPerCreditHistoryMonth,0.0004321523221029002,Requires manual business review
gradient_boosting_light,numeric__Branch ID,0.0003420399556543402,Requires manual business review
gradient_boosting_light,numeric__Loan To Value,0.00027735617021585924,Loan exposure relative to asset value
gradient_boosting_light,low_cardinality_categorical__Employment Type_Salaried,0.00024353152326858315,Income stability / employment profile signal
gradient_boosting_light,low_cardinality_categorical__Employment Type_Unknown,0.00014935706350641988,Income stability / employment profile signal
gradient_boosting_light,numeric__IsBureauExcluded,9.600523517606838e-05,Requires manual business review
gradient_boosting_light,low_cardinality_categorical__FICO Rating_Good,4.0061657150722336e-05,Credit bureau quality / creditworthiness signal
gradient_boosting_light,numeric__Number of Inquiries,3.797627585897256e-05,Recent credit-seeking behavior
gradient_boosting_light,low_cardinality_categorical__CreditHistoryAgeBand_Mature,0.0,Customer maturity / lifecycle signal
gradient_boosting_light,low_cardinality_categorical__CreditHistoryAgeBand_Seasoned,0.0,Customer maturity / lifecycle signal
gradient_boosting_light,numeric__DisbursementMonth,0.0,Requires manual business review
gradient_boosting_light,low_cardinality_categorical__CreditHistoryAgeBand_Very Young,0.0,Customer maturity / lifecycle signal
gradient_boosting_light,low_cardinality_categorical__InquiryIntensityBand_High Inquiries,0.0,Recent credit-seeking behavior
gradient_boosting_light,low_cardinality_categorical__InquiryIntensityBand_Moderate Inquiries,0.0,Recent credit-seeking behavior
gradient_boosting_light,low_cardinality_categorical__InquiryIntensityBand_No Inquiry,0.0,Requires manual business review
gradient_boosting_light,low_cardinality_categorical__InquiryIntensityBand_Single Inquiry,0.0,Requires manual business review
gradient_boosting_light,numeric__HasNegativeCurrentBalance,0.0,Outstanding balance / leverage signal
gradient_boosting_light,numeric__HasNoActiveAccounts,0.0,Requires manual business review
gradient_boosting_light,low_cardinality_categorical__FICO Rating_Poor,0.0,Credit bureau quality / creditworthiness signal
gradient_boosting_light,low_cardinality_categorical__FICO Rating_Fair,0.0,Credit bureau quality / creditworthiness signal
gradient_boosting_light,low_cardinality_categorical__FICO Rating_Exceptional,0.0,Credit bureau quality / creditworthiness signal
gradient_boosting_light,low_cardinality_categorical__Employment Type_Self employed,0.0,Income stability / employment profile signal
gradient_boosting_light,numeric__DisbursementQuarter,0.0,Requires manual business review
gradient_boosting_light,numeric__IsVeryHighLTV,0.0,Requires manual business review
gradient_boosting_light,numeric__IsHighLTV,0.0,Requires manual business review
gradient_boosting_light,numeric__CurrentBalancePositiveAmount,0.0,Outstanding balance / leverage signal
gradient_boosting_light,numeric__DisbursementYear,0.0,Requires manual business review
gradient_boosting_light,low_cardinality_categorical__FICO Rating_Bureau Excluded,0.0,Credit bureau quality / creditworthiness signal
